,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,-1070.7407224260387,2022-08-11 13:21:38.825061,2022-08-11 14:13:45.345208,0 days 00:52:06.520147,100,50000,0.10766880011182119,0.02606371150556197,0.98,0.00048108348613657396,20000,constant,small,1,5000,1,COMPLETE
1,1,291.18697215116117,2022-08-11 14:13:45.377457,2022-08-11 15:17:18.489175,0 days 01:03:33.111718,256,10000,0.05141353699805347,0.1285631026632758,0.9,0.00213513459212937,5000,linear,small,4,1,8,COMPLETE
2,2,-1383.8066187934019,2022-08-11 15:17:18.516078,2022-08-11 15:29:50.984986,0 days 00:12:32.468908,64,10000,0.027296309533583175,0.16819083199423301,0.9,0.00140296103493114,1000,constant,large,2,1,256,PRUNED
3,3,-1987.6999999955297,2022-08-11 15:29:50.997625,2022-08-11 15:53:08.794115,0 days 00:23:17.796490,32,10000,0.06076086833391539,0.10933997217606806,0.9999,5.211003626356892e-05,0,constant,medium,1,5000,256,PRUNED
4,4,-1998.0,2022-08-11 15:53:08.805652,2022-08-11 16:31:16.991248,0 days 00:38:08.185596,100,10000,0.019609751199089656,0.09916423022935433,0.99,0.024963028009623522,10000,constant,medium,1,20000,1000,PRUNED
5,5,-1494.9170201237284,2022-08-11 16:31:17.009339,2022-08-11 16:42:39.123287,0 days 00:11:22.113948,100,10000,0.14495670018369097,0.2692739768779339,0.9999,2.2641714424414947e-05,0,linear,medium,1,1000,1000,PRUNED
6,6,-1214.5773274406674,2022-08-11 16:42:39.133852,2022-08-11 16:52:27.159648,0 days 00:09:48.025796,256,10000,0.0006024026968742158,0.4937716544945591,0.9999,4.322767733888215e-05,0,constant,medium,1,1000,1000,PRUNED
7,7,100.00000149011612,2022-08-11 16:52:27.173459,2022-08-11 17:28:38.582828,0 days 00:36:11.409369,32,50000,0.0037100203225691967,0.022559480979618407,0.98,0.017320349163389013,1000,constant,medium,2,20000,4,PRUNED
8,8,-1997.0,2022-08-11 17:28:38.599747,2022-08-11 17:47:18.567082,0 days 00:18:39.967335,32,100000,0.18706296752521542,0.2164113138130317,0.95,0.007360961402194847,10000,linear,small,4,1000,8,PRUNED
9,9,-1997.0,2022-08-11 17:47:18.577261,2022-08-11 18:06:18.611603,0 days 00:19:00.034342,32,50000,0.19438263000285627,0.10900742093723564,0.98,0.8279106288834212,20000,constant,large,8,1000,16,PRUNED
10,10,100.00000149011612,2022-08-11 18:06:18.625626,2022-08-11 18:26:44.817152,0 days 00:20:26.191526,256,1000000,0.07301832263856756,0.34202196095653953,0.9,0.23337582851688587,5000,linear,small,4,15000,8,PRUNED
11,11,-1035.8014848450548,2022-08-11 18:26:44.826465,2022-08-11 18:42:00.088991,0 days 00:15:15.262526,512,50000,0.11708859751661053,0.021491175929103296,0.999,0.0006507080661037326,5000,linear,small,4,10000,1,PRUNED
12,12,-1000.8345917200313,2022-08-11 18:42:00.104283,2022-08-11 18:56:31.956639,0 days 00:14:31.852356,16,100000,0.09923786649235372,0.004981968484555125,0.995,0.00032304616292225556,20000,linear,small,8,5000,1,PRUNED
13,13,303.1127829916695,2022-08-11 18:56:31.969136,2022-08-11 19:54:46.906502,0 days 00:58:14.937366,128,1000000,0.05866050003643148,0.1492682484952193,0.9,0.00019952415386759645,20000,linear,small,4,1,128,COMPLETE
14,14,-1240.3437836870435,2022-08-11 19:54:46.930976,2022-08-11 20:05:55.142715,0 days 00:11:08.211739,128,1000000,0.05053622706880561,0.30302101510520085,0.9,0.00014378266863249425,5000,linear,small,4,1,128,PRUNED
15,15,-1997.0,2022-08-11 20:05:55.162415,2022-08-11 20:28:36.621936,0 days 00:22:41.459521,128,1000000,0.07820252495539903,0.19416488386891118,0.9,0.0032405209461130167,20000,linear,small,4,1,128,PRUNED
16,16,100.00000149011612,2022-08-11 20:28:36.632398,2022-08-11 20:51:34.160832,0 days 00:22:57.528434,128,1000000,0.03340952995590274,0.38107610761953603,0.9,0.08903864217708354,5000,linear,small,4,1,8,PRUNED
17,17,-1847.8499784618616,2022-08-11 20:51:34.179554,2022-08-11 21:01:33.162517,0 days 00:09:58.982963,256,1000000,0.045202823073982656,0.15627329925668046,0.99,0.00012633405471402563,5000,linear,large,4,1,128,PRUNED
18,18,-1998.0,2022-08-11 21:01:33.176765,2022-08-11 21:18:01.916193,0 days 00:16:28.739428,16,100000,0.08422037050573927,0.08534806858577157,0.95,1.1895936915561217e-05,20000,linear,small,4,15000,16,PRUNED
19,19,-1614.3235840982525,2022-08-11 21:18:01.930283,2022-08-11 21:30:58.897632,0 days 00:12:56.967349,512,1000000,0.14869571489026684,0.24403756027914725,0.995,0.0034253450057043413,10000,linear,small,8,10000,4,PRUNED
20,20,-1998.0,2022-08-11 21:30:58.910546,2022-08-11 21:37:30.730232,0 days 00:06:31.819686,64,10000,0.1371154478422084,0.1471404320834266,0.999,0.001104812990558523,1000,linear,large,2,1,8,PRUNED
21,21,-72.69454665412195,2022-08-11 21:37:30.741709,2022-08-11 21:50:23.384260,0 days 00:12:52.642551,100,50000,0.10755398085511228,0.06723657757843986,0.98,0.00033855126645134496,20000,constant,small,1,5000,1,PRUNED
22,22,,2022-08-11 21:50:23.398066,,,128,50000,0.06214747554429656,0.05626715233396576,0.98,0.0001250601642340965,20000,constant,small,1,5000,1,RUNNING
