row ID,row m/z,row retention time,row identity (main ID),row identity (all IDs),row identity (main ID + details),row comment,row number of detected peaks,fullscan_QCB.mzML filtered Peak status,fullscan_QCB.mzML filtered Peak name,fullscan_QCB.mzML filtered Peak m/z,fullscan_QCB.mzML filtered Peak RT,fullscan_QCB.mzML filtered Peak RT start,fullscan_QCB.mzML filtered Peak RT end,fullscan_QCB.mzML filtered Peak duration time,fullscan_QCB.mzML filtered Peak height,fullscan_QCB.mzML filtered Peak area,fullscan_QCB.mzML filtered Peak charge,fullscan_QCB.mzML filtered Peak # data points,fullscan_QCB.mzML filtered Peak FWHM,fullscan_QCB.mzML filtered Peak tailing factor,fullscan_QCB.mzML filtered Peak asymmetry factor,fullscan_QCB.mzML filtered Peak m/z min,fullscan_QCB.mzML filtered Peak m/z max,
277,118.08645629882812,9.2341551736,,,,,1,DETECTED,118.0865 m/z @9.23 [fullscan_QCB.mzML filtered],118.08645629882812,9.2341551736,8.97401672508333,9.49346945895,0.5194527338666717,3.4128148E7,5.561169740999455E8,1,65,0.33643213255912663,1.003706785406952,0.814363714442915,118.08638763427734,118.08651733398438,
2087,258.1103210449219,10.84694975495,,,,,1,DETECTED,258.1103 m/z @10.85 [fullscan_QCB.mzML filtered],258.1103210449219,10.84694975495,10.6493256602667,11.1512664192,0.5019407589333014,2.7967972E7,2.894053236746224E8,1,62,0.15654047286388462,1.3329905450381174,1.7685290277224577,258.1102294921875,258.11041259765625,
252,116.07080841064453,10.2907110930833,,,,,1,DETECTED,116.0708 m/z @10.29 [fullscan_QCB.mzML filtered],116.07080841064453,10.2907110930833,10.0267052568167,10.6231909432,0.5964856863832999,2.2293822E7,2.6884337318518627E8,1,73,0.20505826098899504,1.0955895039234755,1.3361270763391302,116.07075500488281,116.07085418701172,
2,70.06535339355469,10.2907110930833,,,,,1,DETECTED,70.0654 m/z @10.29 [fullscan_QCB.mzML filtered],70.06535339355469,10.2907110930833,10.0519024058833,10.5631535338667,0.5112511279833996,1.3277793E7,1.6103191841968971E8,1,63,0.20678203649386262,1.091518798336477,1.163886362781724,70.06531524658203,70.06538391113281,
2259,268.1043395996094,7.97385680453333,,,,,1,DETECTED,268.1043 m/z @7.97 [fullscan_QCB.mzML filtered],268.1043395996094,7.97385680453333,7.77193247761667,8.186626712,0.4146942343833304,1.0258795E7,1.184059855098188E8,1,52,0.16491196267555175,1.0243666822817743,0.6119393612825608,268.104248046875,268.1044616699219,
170,104.107177734375,18.11620043415,,,,,1,DETECTED,104.1072 m/z @18.12 [fullscan_QCB.mzML filtered],104.107177734375,18.11620043415,17.7837034496167,18.4092904952,0.6255870455833019,9154063.0,1.4448096972555345E8,1,69,0.24849797429848408,0.956793579731834,0.9840415024898138,104.10713958740234,104.10721588134766,
466,138.05511474609375,9.566843795200002,,,,,1,DETECTED,138.0551 m/z @9.57 [fullscan_QCB.mzML filtered],138.05511474609375,9.566843795200002,9.35351988828333,9.78223225548333,0.4287123671999993,8222642.5,7.310780208736172E7,1,52,0.1511663514808408,1.1514346929193313,1.3771774807209354,138.05508422851562,138.05520629882812,
171,104.107177734375,10.84694975495,,,,,1,DETECTED,104.1072 m/z @10.85 [fullscan_QCB.mzML filtered],104.107177734375,10.84694975495,10.6318530824,11.177438816266699,0.5455857338666998,5169048.5,5.13001977246063E7,1,67,0.179257049481933,1.3413885963045127,1.735908035909056,104.10712432861328,104.10721588134766,
453,136.0619354248047,8.35468351388333,,,,,1,DETECTED,136.0619 m/z @8.35 [fullscan_QCB.mzML filtered],136.0619354248047,8.35468351388333,7.6469370736,8.68087014615,1.033933072549999,4870276.0,1.0207286115079318E8,1,126,0.5516530402776967,0.6361616752503445,0.2711016960163443,136.06187438964844,136.06199645996094,
220,112.05073547363281,9.96063866853333,,,,,1,DETECTED,112.0507 m/z @9.96 [fullscan_QCB.mzML filtered],112.05073547363281,9.96063866853333,9.75621875975,10.1951745728,0.43895581304999887,3260271.25,3.5477576653607525E7,1,53,0.1820895600241279,1.0444145655653918,1.0872814008491545,112.05071258544922,112.05082702636719,
620,152.0568389892578,10.4939914624,,,,,1,DETECTED,152.0568 m/z @10.49 [fullscan_QCB.mzML filtered],152.0568389892578,10.4939914624,10.25896797815,10.7752337282833,0.5162657501333001,3185799.75,3.428493639187648E7,1,64,0.17661615489173776,1.2351360199947035,1.500076525061444,152.0567626953125,152.0569305419922,
1717,235.11912536621094,6.91334759548333,,,,,1,DETECTED,235.1191 m/z @6.91 [fullscan_QCB.mzML filtered],235.11912536621094,6.91334759548333,6.83853350081667,7.06039861308333,0.22186511226666017,3020598.0,1.3441766325635487E7,1,28,0.0642921507540617,1.0835111115509606,1.9908235009592261,235.11903381347656,235.11923217773438,
2127,260.1131286621094,9.591434738150001,,,,,1,DETECTED,260.1131 m/z @9.59 [fullscan_QCB.mzML filtered],260.1131286621094,9.591434738150001,9.3936269248,9.78223225548333,0.3886053306833297,2871975.25,3.2458071895261463E7,1,47,0.17379906198843464,0.9991494436893779,1.1080248496920853,260.113037109375,260.1132507324219,
361,126.05513000488281,7.07676891228333,,,,,1,DETECTED,126.0551 m/z @7.08 [fullscan_QCB.mzML filtered],126.05513000488281,7.07676891228333,6.87384694133333,7.22805344348333,0.35420650215000027,2809097.5,2.365600169372435E7,1,44,0.13135425814848123,0.8654331956389597,0.6524273997189661,126.05506896972656,126.05517578125,
559,146.092529296875,11.7730471370833,,,,,1,DETECTED,146.0925 m/z @11.77 [fullscan_QCB.mzML filtered],146.092529296875,11.7730471370833,11.56543561255,12.0259740192,0.4605384066499987,2681657.5,2.569096304491693E7,1,54,0.16281610368714183,1.1346170953983246,1.527151948336059,146.0924835205078,146.0925750732422,
1723,235.16555786132812,9.24218828295,,,,,1,DETECTED,235.1656 m/z @9.24 [fullscan_QCB.mzML filtered],235.16555786132812,9.24218828295,9.03145836666667,9.43530035335,0.4038419866833305,2525031.5,2.110696394286205E7,1,52,0.1429143985503316,1.042584919238419,1.0435180527497048,235.16537475585938,235.16566467285156,
190,108.04458618164062,7.07676891228333,,,,,1,DETECTED,108.0446 m/z @7.08 [fullscan_QCB.mzML filtered],108.04458618164062,7.07676891228333,6.8656909448,7.23625524133333,0.37056429653333023,2441855.5,2.005418427143148E7,1,46,0.10884218138808333,0.8256869895101958,0.6127899694733041,108.04454040527344,108.04462432861328,
1931,248.11305236816406,11.5827015834833,,,,,1,DETECTED,248.1131 m/z @11.58 [fullscan_QCB.mzML filtered],248.11305236816406,11.5827015834833,11.3652403053333,11.7472836770833,0.38204337174999914,2207790.5,2.273373202164188E7,1,45,0.15952939717574388,0.9680657018435295,1.0343697231808966,248.1129608154297,248.11317443847656,
4657,487.17889404296875,9.92676476161667,,,,,1,DETECTED,487.1789 m/z @9.93 [fullscan_QCB.mzML filtered],487.17889404296875,9.92676476161667,9.77333050855,10.170225086133298,0.39689457758329816,2025942.25,1.9279946388909E7,1,49,0.15246088754938292,1.2948576562489287,1.6089032137083916,487.1786193847656,487.1792297363281,
2228,266.1236572265625,11.55691496535,,,,,1,DETECTED,266.1237 m/z @11.56 [fullscan_QCB.mzML filtered],266.1236572265625,11.55691496535,11.3652403053333,11.8324367224167,0.4671964170834002,1991678.75,2.2114057997642543E7,1,55,0.16360192045654287,1.333822782611042,1.4409428475840453,266.1235656738281,266.123779296875,
255,116.07080459594727,12.6582169933333,,,,,1,DETECTED,116.0708 m/z @12.66 [fullscan_QCB.mzML filtered],116.07080459594727,12.6582169933333,12.5731426664,12.7564594469333,0.1833167805332998,1741235.5,1612009.029111522,0,22,23.800556941216186,0.5037846970187032,0.003471610028520892,116.07076263427734,116.07086181640625,
2476,280.0922393798828,10.9417382437333,,,,,1,DETECTED,280.0922 m/z @10.94 [fullscan_QCB.mzML filtered],280.0922393798828,10.9417382437333,10.6231909432,11.1073909218667,0.4841999786667017,1666375.5,1.8227067250499096E7,1,60,0.20298908800885407,0.7987366620525329,0.46520380380534265,280.0920715332031,280.092529296875,
4906,560.4712524414062,3.50275439706667,,,,,1,DETECTED,560.4713 m/z @3.50 [fullscan_QCB.mzML filtered],560.4712524414062,3.50275439706667,3.35280957733333,3.72470715413333,0.3718975767999999,1665575.375,1.8344110526943702E7,1,47,0.2087761290240997,1.498755903939328,2.435338823654322,560.4708251953125,560.4716796875,
2414,276.14434814453125,7.81237928455,,,,,1,DETECTED,276.1443 m/z @7.81 [fullscan_QCB.mzML filtered],276.14434814453125,7.81237928455,7.15156848481667,8.20342499013333,1.0518565053166604,1619362.625,4.920744802061419E7,1,128,0.40058926234210723,0.7867174540446276,0.4696828967810485,276.1442565917969,276.1445007324219,
405,130.08642578125,10.001753879733299,,,,,1,DETECTED,130.0864 m/z @10.00 [fullscan_QCB.mzML filtered],130.08642578125,10.001753879733299,9.79940476746667,10.2351292826833,0.4357245152166289,1554384.0,1.4380426531358473E7,1,53,0.15274646720834184,1.145091086481389,1.3512387406428747,130.08631896972656,130.0865020751953,
2173,262.1287841796875,8.57996947201667,,,,,1,DETECTED,262.1288 m/z @8.58 [fullscan_QCB.mzML filtered],262.1287841796875,8.57996947201667,8.4039068904,8.77275245413333,0.36884556373333055,1502464.125,1.7931349057905134E7,1,45,0.18251120402616117,1.0653884165577454,1.0331814600858789,262.128662109375,262.12884521484375,
2453,278.1236877441406,9.59972615066667,,,,,1,DETECTED,278.1237 m/z @9.60 [fullscan_QCB.mzML filtered],278.1236877441406,9.59972615066667,9.33738287361667,9.77333050855,0.43594763493332955,1424970.625,1.5766736061977796E7,1,53,0.1703896559369653,0.9255684582539013,0.9881400785355727,278.12359619140625,278.1241149902344,
4778,515.4133605957031,3.50275439706667,,,,,1,DETECTED,515.4134 m/z @3.50 [fullscan_QCB.mzML filtered],515.4133605957031,3.50275439706667,3.36130295066667,3.72470715413333,0.36340420346666,1412039.5,1.3939565659743385E7,1,46,0.17034418884774638,1.5402368620629,2.4538514112872463,515.4129028320312,515.4136352539062,
1322,209.09219360351562,6.91334759548333,,,,,1,DETECTED,209.0922 m/z @6.91 [fullscan_QCB.mzML filtered],209.09219360351562,6.91334759548333,6.85688892506667,7.04402007706667,0.18713115200000008,1319014.25,7000373.775011995,1,24,0.08301249242207831,1.7407715047552839,2.6472377292809917,209.09210205078125,209.09226989746094,
1860,244.09304809570312,9.92676476161667,,,,,1,DETECTED,244.0930 m/z @9.93 [fullscan_QCB.mzML filtered],244.09304809570312,9.92676476161667,9.77333050855,10.15372811575,0.3803976072000008,1282457.125,1.366716682327148E7,1,46,0.17282581029480326,1.4601404485704776,1.6619701265047895,244.09295654296875,244.0945281982422,
392,129.06600952148438,11.5147101672,,,,,1,DETECTED,129.0660 m/z @11.51 [fullscan_QCB.mzML filtered],129.06600952148438,11.5147101672,11.3209667976,11.6861460290833,0.36517923148329956,1272496.375,9652800.304965816,1,43,0.11829794746880218,1.0917218529807509,1.1124013927733833,129.06594848632812,129.0661163330078,
362,126.06636047363281,8.14472843068333,,,,,1,DETECTED,126.0664 m/z @8.14 [fullscan_QCB.mzML filtered],126.06636047363281,8.14472843068333,7.98949206586667,8.32948227388333,0.339990208016661,1220765.125,1.2404192436435167E7,1,42,0.155868056776308,1.095072692594298,1.2141571927060228,126.06629943847656,126.06640625,
